,series_value,datetime,Year,Month,Day_of_Month,Hour,minutes,series_name
3,1321.0,2016-03-01 05:00:00,2016,3,1,5,0,Building3
7,1293.0,2016-03-01 06:00:00,2016,3,1,6,0,Building3
11,1249.0,2016-03-01 07:00:00,2016,3,1,7,0,Building3
15,1125.0,2016-03-01 08:00:00,2016,3,1,8,0,Building3
19,693.0,2016-03-01 09:00:00,2016,3,1,9,0,Building3
23,572.0,2016-03-01 10:00:00,2016,3,1,10,0,Building3
27,519.0,2016-03-01 11:00:00,2016,3,1,11,0,Building3
31,426.0,2016-03-01 12:00:00,2016,3,1,12,0,Building3
35,401.0,2016-03-01 13:00:00,2016,3,1,13,0,Building3
39,366.0,2016-03-01 14:00:00,2016,3,1,14,0,Building3
43,356.0,2016-03-01 15:00:00,2016,3,1,15,0,Building3
47,344.0,2016-03-01 16:00:00,2016,3,1,16,0,Building3
51,344.0,2016-03-01 17:00:00,2016,3,1,17,0,Building3
55,362.0,2016-03-01 18:00:00,2016,3,1,18,0,Building3
59,410.0,2016-03-01 19:00:00,2016,3,1,19,0,Building3
63,445.0,2016-03-01 20:00:00,2016,3,1,20,0,Building3
67,656.0,2016-03-01 21:00:00,2016,3,1,21,0,Building3
71,725.0,2016-03-01 22:00:00,2016,3,1,22,0,Building3
75,958.0,2016-03-01 23:00:00,2016,3,1,23,0,Building3
79,1134.0,2016-03-02 00:00:00,2016,3,2,0,0,Building3
83,1255.0,2016-03-02 01:00:00,2016,3,2,1,0,Building3
87,1320.0,2016-03-02 02:00:00,2016,3,2,2,0,Building3
91,1395.0,2016-03-02 03:00:00,2016,3,2,3,0,Building3
95,1391.0,2016-03-02 04:00:00,2016,3,2,4,0,Building3
99,1346.0,2016-03-02 05:00:00,2016,3,2,5,0,Building3
103,1349.0,2016-03-02 06:00:00,2016,3,2,6,0,Building3
107,1268.0,2016-03-02 07:00:00,2016,3,2,7,0,Building3
111,1131.0,2016-03-02 08:00:00,2016,3,2,8,0,Building3
115,668.0,2016-03-02 09:00:00,2016,3,2,9,0,Building3
119,561.0,2016-03-02 10:00:00,2016,3,2,10,0,Building3
123,502.0,2016-03-02 11:00:00,2016,3,2,11,0,Building3
127,426.0,2016-03-02 12:00:00,2016,3,2,12,0,Building3
131,398.0,2016-03-02 13:00:00,2016,3,2,13,0,Building3
135,376.0,2016-03-02 14:00:00,2016,3,2,14,0,Building3
139,381.0,2016-03-02 15:00:00,2016,3,2,15,0,Building3
143,368.0,2016-03-02 16:00:00,2016,3,2,16,0,Building3
147,356.0,2016-03-02 17:00:00,2016,3,2,17,0,Building3
151,388.0,2016-03-02 18:00:00,2016,3,2,18,0,Building3
155,440.0,2016-03-02 19:00:00,2016,3,2,19,0,Building3
159,476.0,2016-03-02 20:00:00,2016,3,2,20,0,Building3
163,613.0,2016-03-02 21:00:00,2016,3,2,21,0,Building3
167,720.0,2016-03-02 22:00:00,2016,3,2,22,0,Building3
171,865.0,2016-03-02 23:00:00,2016,3,2,23,0,Building3
175,940.0,2016-03-03 00:00:00,2016,3,3,0,0,Building3
179,1080.0,2016-03-03 01:00:00,2016,3,3,1,0,Building3
183,1199.0,2016-03-03 02:00:00,2016,3,3,2,0,Building3
187,1275.0,2016-03-03 03:00:00,2016,3,3,3,0,Building3
191,1323.0,2016-03-03 04:00:00,2016,3,3,4,0,Building3
195,1250.0,2016-03-03 05:00:00,2016,3,3,5,0,Building3
199,1207.0,2016-03-03 06:00:00,2016,3,3,6,0,Building3
203,1179.0,2016-03-03 07:00:00,2016,3,3,7,0,Building3
207,1055.0,2016-03-03 08:00:00,2016,3,3,8,0,Building3
211,692.0,2016-03-03 09:00:00,2016,3,3,9,0,Building3
215,593.0,2016-03-03 10:00:00,2016,3,3,10,0,Building3
219,545.0,2016-03-03 11:00:00,2016,3,3,11,0,Building3
223,473.0,2016-03-03 12:00:00,2016,3,3,12,0,Building3
227,438.0,2016-03-03 13:00:00,2016,3,3,13,0,Building3
231,414.0,2016-03-03 14:00:00,2016,3,3,14,0,Building3
235,405.0,2016-03-03 15:00:00,2016,3,3,15,0,Building3
239,393.0,2016-03-03 16:00:00,2016,3,3,16,0,Building3
243,382.0,2016-03-03 17:00:00,2016,3,3,17,0,Building3
247,394.0,2016-03-03 18:00:00,2016,3,3,18,0,Building3
251,448.0,2016-03-03 19:00:00,2016,3,3,19,0,Building3
255,472.0,2016-03-03 20:00:00,2016,3,3,20,0,Building3
259,590.0,2016-03-03 21:00:00,2016,3,3,21,0,Building3
263,714.0,2016-03-03 22:00:00,2016,3,3,22,0,Building3
267,868.0,2016-03-03 23:00:00,2016,3,3,23,0,Building3
271,976.0,2016-03-04 00:00:00,2016,3,4,0,0,Building3
275,1193.0,2016-03-04 01:00:00,2016,3,4,1,0,Building3
279,1306.0,2016-03-04 02:00:00,2016,3,4,2,0,Building3
283,1390.0,2016-03-04 03:00:00,2016,3,4,3,0,Building3
287,1456.0,2016-03-04 04:00:00,2016,3,4,4,0,Building3
291,1437.0,2016-03-04 05:00:00,2016,3,4,5,0,Building3
295,1393.0,2016-03-04 06:00:00,2016,3,4,6,0,Building3
299,1374.0,2016-03-04 07:00:00,2016,3,4,7,0,Building3
303,1184.0,2016-03-04 08:00:00,2016,3,4,8,0,Building3
307,743.0,2016-03-04 09:00:00,2016,3,4,9,0,Building3
311,647.0,2016-03-04 10:00:00,2016,3,4,10,0,Building3
315,607.0,2016-03-04 11:00:00,2016,3,4,11,0,Building3
319,518.0,2016-03-04 12:00:00,2016,3,4,12,0,Building3
323,465.0,2016-03-04 13:00:00,2016,3,4,13,0,Building3
327,422.0,2016-03-04 14:00:00,2016,3,4,14,0,Building3
331,410.0,2016-03-04 15:00:00,2016,3,4,15,0,Building3
335,422.0,2016-03-04 16:00:00,2016,3,4,16,0,Building3
339,414.0,2016-03-04 17:00:00,2016,3,4,17,0,Building3
343,412.0,2016-03-04 18:00:00,2016,3,4,18,0,Building3
347,395.0,2016-03-04 19:00:00,2016,3,4,19,0,Building3
351,399.0,2016-03-04 20:00:00,2016,3,4,20,0,Building3
355,383.0,2016-03-04 21:00:00,2016,3,4,21,0,Building3
359,401.0,2016-03-04 22:00:00,2016,3,4,22,0,Building3
363,411.0,2016-03-04 23:00:00,2016,3,4,23,0,Building3
367,419.0,2016-03-05 00:00:00,2016,3,5,0,0,Building3
371,469.0,2016-03-05 01:00:00,2016,3,5,1,0,Building3
375,490.0,2016-03-05 02:00:00,2016,3,5,2,0,Building3
379,470.0,2016-03-05 03:00:00,2016,3,5,3,0,Building3
383,483.0,2016-03-05 04:00:00,2016,3,5,4,0,Building3
387,452.0,2016-03-05 05:00:00,2016,3,5,5,0,Building3
391,378.0,2016-03-05 06:00:00,2016,3,5,6,0,Building3
395,367.0,2016-03-05 07:00:00,2016,3,5,7,0,Building3
399,386.0,2016-03-05 08:00:00,2016,3,5,8,0,Building3
403,386.0,2016-03-05 09:00:00,2016,3,5,9,0,Building3
407,376.0,2016-03-05 10:00:00,2016,3,5,10,0,Building3
411,375.0,2016-03-05 11:00:00,2016,3,5,11,0,Building3
415,372.0,2016-03-05 12:00:00,2016,3,5,12,0,Building3
419,367.0,2016-03-05 13:00:00,2016,3,5,13,0,Building3
423,365.0,2016-03-05 14:00:00,2016,3,5,14,0,Building3
427,364.0,2016-03-05 15:00:00,2016,3,5,15,0,Building3
431,359.0,2016-03-05 16:00:00,2016,3,5,16,0,Building3
435,357.0,2016-03-05 17:00:00,2016,3,5,17,0,Building3
439,349.0,2016-03-05 18:00:00,2016,3,5,18,0,Building3
443,354.0,2016-03-05 19:00:00,2016,3,5,19,0,Building3
447,361.0,2016-03-05 20:00:00,2016,3,5,20,0,Building3
451,350.0,2016-03-05 21:00:00,2016,3,5,21,0,Building3
455,349.0,2016-03-05 22:00:00,2016,3,5,22,0,Building3
459,346.0,2016-03-05 23:00:00,2016,3,5,23,0,Building3
463,324.0,2016-03-06 00:00:00,2016,3,6,0,0,Building3
467,303.0,2016-03-06 01:00:00,2016,3,6,1,0,Building3
471,297.0,2016-03-06 02:00:00,2016,3,6,2,0,Building3
475,306.0,2016-03-06 03:00:00,2016,3,6,3,0,Building3
479,333.0,2016-03-06 04:00:00,2016,3,6,4,0,Building3
