,series_value,datetime,Year,Month,Day_of_Month,Hour,minutes,series_name
5,2.0,2019-07-03 06:00:00,2019,7,3,6,0,Building4
9,1.0,2019-07-03 07:00:00,2019,7,3,7,0,Building4
13,1.0,2019-07-03 08:00:00,2019,7,3,8,0,Building4
17,1.0,2019-07-03 09:00:00,2019,7,3,9,0,Building4
21,2.0,2019-07-03 10:00:00,2019,7,3,10,0,Building4
25,2.0,2019-07-03 11:00:00,2019,7,3,11,0,Building4
29,1.0,2019-07-03 12:00:00,2019,7,3,12,0,Building4
33,1.0,2019-07-03 13:00:00,2019,7,3,13,0,Building4
37,1.0,2019-07-03 14:00:00,2019,7,3,14,0,Building4
41,1.0,2019-07-03 15:00:00,2019,7,3,15,0,Building4
45,1.0,2019-07-03 16:00:00,2019,7,3,16,0,Building4
49,1.0,2019-07-03 17:00:00,2019,7,3,17,0,Building4
53,1.0,2019-07-03 18:00:00,2019,7,3,18,0,Building4
57,1.0,2019-07-03 19:00:00,2019,7,3,19,0,Building4
61,1.0,2019-07-03 20:00:00,2019,7,3,20,0,Building4
65,2.0,2019-07-03 21:00:00,2019,7,3,21,0,Building4
69,2.0,2019-07-03 22:00:00,2019,7,3,22,0,Building4
73,1.0,2019-07-03 23:00:00,2019,7,3,23,0,Building4
77,2.0,2019-07-04 00:00:00,2019,7,4,0,0,Building4
81,1.0,2019-07-04 01:00:00,2019,7,4,1,0,Building4
85,1.0,2019-07-04 02:00:00,2019,7,4,2,0,Building4
89,1.0,2019-07-04 03:00:00,2019,7,4,3,0,Building4
93,2.0,2019-07-04 04:00:00,2019,7,4,4,0,Building4
97,1.0,2019-07-04 05:00:00,2019,7,4,5,0,Building4
101,1.0,2019-07-04 06:00:00,2019,7,4,6,0,Building4
105,1.0,2019-07-04 07:00:00,2019,7,4,7,0,Building4
109,1.0,2019-07-04 08:00:00,2019,7,4,8,0,Building4
113,1.0,2019-07-04 09:00:00,2019,7,4,9,0,Building4
117,2.0,2019-07-04 10:00:00,2019,7,4,10,0,Building4
121,1.0,2019-07-04 11:00:00,2019,7,4,11,0,Building4
125,1.0,2019-07-04 12:00:00,2019,7,4,12,0,Building4
129,2.0,2019-07-04 13:00:00,2019,7,4,13,0,Building4
133,1.0,2019-07-04 14:00:00,2019,7,4,14,0,Building4
137,2.0,2019-07-04 15:00:00,2019,7,4,15,0,Building4
141,2.0,2019-07-04 16:00:00,2019,7,4,16,0,Building4
145,2.0,2019-07-04 17:00:00,2019,7,4,17,0,Building4
