,series_value,datetime,Year,Month,Day_of_Month,Hour,minutes,series_name
0,0.0,2018-12-31 13:00:00,2018,12,31,13,0,Solar1
4,0.0,2018-12-31 14:00:00,2018,12,31,14,0,Solar1
8,0.0,2018-12-31 15:00:00,2018,12,31,15,0,Solar1
12,0.0,2018-12-31 16:00:00,2018,12,31,16,0,Solar1
16,0.0,2018-12-31 17:00:00,2018,12,31,17,0,Solar1
20,0.0,2018-12-31 18:00:00,2018,12,31,18,0,Solar1
24,0.14,2018-12-31 19:00:00,2018,12,31,19,0,Solar1
28,1.03,2018-12-31 20:00:00,2018,12,31,20,0,Solar1
32,3.88,2018-12-31 21:00:00,2018,12,31,21,0,Solar1
36,7.25,2018-12-31 22:00:00,2018,12,31,22,0,Solar1
40,10.12,2018-12-31 23:00:00,2018,12,31,23,0,Solar1
44,12.27,2019-01-01 00:00:00,2019,1,1,0,0,Solar1
48,13.02,2019-01-01 01:00:00,2019,1,1,1,0,Solar1
52,13.02,2019-01-01 02:00:00,2019,1,1,2,0,Solar1
56,13.01,2019-01-01 03:00:00,2019,1,1,3,0,Solar1
60,13.0,2019-01-01 04:00:00,2019,1,1,4,0,Solar1
64,11.63,2019-01-01 05:00:00,2019,1,1,5,0,Solar1
68,9.17,2019-01-01 06:00:00,2019,1,1,6,0,Solar1
72,5.76,2019-01-01 07:00:00,2019,1,1,7,0,Solar1
76,2.34,2019-01-01 08:00:00,2019,1,1,8,0,Solar1
80,0.29,2019-01-01 09:00:00,2019,1,1,9,0,Solar1
84,0.0,2019-01-01 10:00:00,2019,1,1,10,0,Solar1
88,0.0,2019-01-01 11:00:00,2019,1,1,11,0,Solar1
92,0.0,2019-01-01 12:00:00,2019,1,1,12,0,Solar1
96,0.0,2019-01-01 13:00:00,2019,1,1,13,0,Solar1
100,0.0,2019-01-01 14:00:00,2019,1,1,14,0,Solar1
104,0.0,2019-01-01 15:00:00,2019,1,1,15,0,Solar1
108,0.0,2019-01-01 16:00:00,2019,1,1,16,0,Solar1
112,0.0,2019-01-01 17:00:00,2019,1,1,17,0,Solar1
116,0.0,2019-01-01 18:00:00,2019,1,1,18,0,Solar1
120,0.04,2019-01-01 19:00:00,2019,1,1,19,0,Solar1
124,0.78,2019-01-01 20:00:00,2019,1,1,20,0,Solar1
128,1.94,2019-01-01 21:00:00,2019,1,1,21,0,Solar1
132,2.99,2019-01-01 22:00:00,2019,1,1,22,0,Solar1
136,4.25,2019-01-01 23:00:00,2019,1,1,23,0,Solar1
140,7.33,2019-01-02 00:00:00,2019,1,2,0,0,Solar1
144,8.47,2019-01-02 01:00:00,2019,1,2,1,0,Solar1
148,11.91,2019-01-02 02:00:00,2019,1,2,2,0,Solar1
152,13.01,2019-01-02 03:00:00,2019,1,2,3,0,Solar1
156,13.01,2019-01-02 04:00:00,2019,1,2,4,0,Solar1
160,11.88,2019-01-02 05:00:00,2019,1,2,5,0,Solar1
164,9.32,2019-01-02 06:00:00,2019,1,2,6,0,Solar1
168,5.82,2019-01-02 07:00:00,2019,1,2,7,0,Solar1
172,2.15,2019-01-02 08:00:00,2019,1,2,8,0,Solar1
176,0.33,2019-01-02 09:00:00,2019,1,2,9,0,Solar1
180,0.0,2019-01-02 10:00:00,2019,1,2,10,0,Solar1
184,0.0,2019-01-02 11:00:00,2019,1,2,11,0,Solar1
188,0.0,2019-01-02 12:00:00,2019,1,2,12,0,Solar1
192,0.0,2019-01-02 13:00:00,2019,1,2,13,0,Solar1
196,0.0,2019-01-02 14:00:00,2019,1,2,14,0,Solar1
200,0.0,2019-01-02 15:00:00,2019,1,2,15,0,Solar1
204,0.0,2019-01-02 16:00:00,2019,1,2,16,0,Solar1
208,0.0,2019-01-02 17:00:00,2019,1,2,17,0,Solar1
212,0.0,2019-01-02 18:00:00,2019,1,2,18,0,Solar1
216,0.01,2019-01-02 19:00:00,2019,1,2,19,0,Solar1
220,0.41,2019-01-02 20:00:00,2019,1,2,20,0,Solar1
224,1.58,2019-01-02 21:00:00,2019,1,2,21,0,Solar1
228,3.85,2019-01-02 22:00:00,2019,1,2,22,0,Solar1
232,5.94,2019-01-02 23:00:00,2019,1,2,23,0,Solar1
236,12.13,2019-01-03 00:00:00,2019,1,3,0,0,Solar1
240,12.99,2019-01-03 01:00:00,2019,1,3,1,0,Solar1
244,13.01,2019-01-03 02:00:00,2019,1,3,2,0,Solar1
248,13.0,2019-01-03 03:00:00,2019,1,3,3,0,Solar1
252,12.82,2019-01-03 04:00:00,2019,1,3,4,0,Solar1
256,11.41,2019-01-03 05:00:00,2019,1,3,5,0,Solar1
260,8.97,2019-01-03 06:00:00,2019,1,3,6,0,Solar1
264,5.62,2019-01-03 07:00:00,2019,1,3,7,0,Solar1
268,2.29,2019-01-03 08:00:00,2019,1,3,8,0,Solar1
272,0.3,2019-01-03 09:00:00,2019,1,3,9,0,Solar1
276,0.0,2019-01-03 10:00:00,2019,1,3,10,0,Solar1
280,0.0,2019-01-03 11:00:00,2019,1,3,11,0,Solar1
284,0.0,2019-01-03 12:00:00,2019,1,3,12,0,Solar1
288,0.0,2019-01-03 13:00:00,2019,1,3,13,0,Solar1
292,0.0,2019-01-03 14:00:00,2019,1,3,14,0,Solar1
296,0.0,2019-01-03 15:00:00,2019,1,3,15,0,Solar1
300,0.0,2019-01-03 16:00:00,2019,1,3,16,0,Solar1
304,0.0,2019-01-03 17:00:00,2019,1,3,17,0,Solar1
308,0.0,2019-01-03 18:00:00,2019,1,3,18,0,Solar1
312,0.12,2019-01-03 19:00:00,2019,1,3,19,0,Solar1
316,0.93,2019-01-03 20:00:00,2019,1,3,20,0,Solar1
320,3.48,2019-01-03 21:00:00,2019,1,3,21,0,Solar1
324,6.87,2019-01-03 22:00:00,2019,1,3,22,0,Solar1
328,9.77,2019-01-03 23:00:00,2019,1,3,23,0,Solar1
332,11.72,2019-01-04 00:00:00,2019,1,4,0,0,Solar1
336,12.9,2019-01-04 01:00:00,2019,1,4,1,0,Solar1
340,13.0,2019-01-04 02:00:00,2019,1,4,2,0,Solar1
344,13.0,2019-01-04 03:00:00,2019,1,4,3,0,Solar1
348,10.9,2019-01-04 04:00:00,2019,1,4,4,0,Solar1
352,8.9,2019-01-04 05:00:00,2019,1,4,5,0,Solar1
356,3.15,2019-01-04 06:00:00,2019,1,4,6,0,Solar1
360,2.72,2019-01-04 07:00:00,2019,1,4,7,0,Solar1
364,1.27,2019-01-04 08:00:00,2019,1,4,8,0,Solar1
368,0.26,2019-01-04 09:00:00,2019,1,4,9,0,Solar1
372,0.0,2019-01-04 10:00:00,2019,1,4,10,0,Solar1
376,0.0,2019-01-04 11:00:00,2019,1,4,11,0,Solar1
380,0.0,2019-01-04 12:00:00,2019,1,4,12,0,Solar1
384,0.0,2019-01-04 13:00:00,2019,1,4,13,0,Solar1
388,0.0,2019-01-04 14:00:00,2019,1,4,14,0,Solar1
392,0.0,2019-01-04 15:00:00,2019,1,4,15,0,Solar1
396,0.0,2019-01-04 16:00:00,2019,1,4,16,0,Solar1
400,0.0,2019-01-04 17:00:00,2019,1,4,17,0,Solar1
404,0.0,2019-01-04 18:00:00,2019,1,4,18,0,Solar1
408,0.0,2019-01-04 19:00:00,2019,1,4,19,0,Solar1
412,1.61,2019-01-04 20:00:00,2019,1,4,20,0,Solar1
416,1.12,2019-01-04 21:00:00,2019,1,4,21,0,Solar1
420,1.03,2019-01-04 22:00:00,2019,1,4,22,0,Solar1
424,1.33,2019-01-04 23:00:00,2019,1,4,23,0,Solar1
428,0.85,2019-01-05 00:00:00,2019,1,5,0,0,Solar1
