REGION,SETTLEMENTDATE,TOTALDEMAND,Average cents / megawatthour
VIC1,1/10/2020,0:00:00,4592.12
VIC1,1/10/2020,1:00:00,4237.96
VIC1,1/10/2020,2:00:00,3943.945
VIC1,1/10/2020,3:00:00,3824.75
VIC1,1/10/2020,4:00:00,3932.19
VIC1,1/10/2020,5:00:00,4254.78
VIC1,1/10/2020,6:00:00,4718.785
VIC1,1/10/2020,7:00:00,4863.115
VIC1,1/10/2020,8:00:00,4750.535
VIC1,1/10/2020,9:00:00,4472.055
VIC1,1/10/2020,10:00:00,4126.47
VIC1,1/10/2020,11:00:00,3988.705
VIC1,1/10/2020,12:00:00,3917.49
VIC1,1/10/2020,13:00:00,3720.995
VIC1,1/10/2020,14:00:00,3701.98
VIC1,1/10/2020,15:00:00,3869.205
VIC1,1/10/2020,16:00:00,4316.285
VIC1,1/10/2020,17:00:00,4952.25
VIC1,1/10/2020,18:00:00,5441.41
VIC1,1/10/2020,19:00:00,5475.945
VIC1,1/10/2020,20:00:00,5211.46
VIC1,1/10/2020,21:00:00,4968.415
VIC1,1/10/2020,22:00:00,4640.895
VIC1,1/10/2020,23:00:00,4659.55
VIC1,2/10/2020,0:00:00,4408.875
VIC1,2/10/2020,1:00:00,4089.335
VIC1,2/10/2020,2:00:00,3786.625
VIC1,2/10/2020,3:00:00,3652.71
VIC1,2/10/2020,4:00:00,3642.695
VIC1,2/10/2020,5:00:00,3884.905
VIC1,2/10/2020,6:00:00,4341.15
VIC1,2/10/2020,7:00:00,4411.635
VIC1,2/10/2020,8:00:00,4245.07
VIC1,2/10/2020,9:00:00,3899.395
VIC1,2/10/2020,10:00:00,3521.87
VIC1,2/10/2020,11:00:00,3387.47
VIC1,2/10/2020,12:00:00,3450.39
VIC1,2/10/2020,13:00:00,3516.225
VIC1,2/10/2020,14:00:00,3716.34
VIC1,2/10/2020,15:00:00,3995.945
VIC1,2/10/2020,16:00:00,4507.32
VIC1,2/10/2020,17:00:00,4920.72
VIC1,2/10/2020,18:00:00,5075.845
VIC1,2/10/2020,19:00:00,5050.655
VIC1,2/10/2020,20:00:00,4721.585
VIC1,2/10/2020,21:00:00,4464.265
VIC1,2/10/2020,22:00:00,4310.46
VIC1,2/10/2020,23:00:00,4483.83
VIC1,3/10/2020,0:00:00,4227.99
VIC1,3/10/2020,1:00:00,3933.845
VIC1,3/10/2020,2:00:00,3626.185
VIC1,3/10/2020,3:00:00,3449.965
VIC1,3/10/2020,4:00:00,3355.285
VIC1,3/10/2020,5:00:00,3359.995
VIC1,3/10/2020,6:00:00,3403.45
VIC1,3/10/2020,7:00:00,3312.62
VIC1,3/10/2020,8:00:00,3236.035
VIC1,3/10/2020,9:00:00,3111.225
VIC1,3/10/2020,10:00:00,3068.585
VIC1,3/10/2020,11:00:00,3135.605
VIC1,3/10/2020,12:00:00,3317.395
VIC1,3/10/2020,13:00:00,3518.06
VIC1,3/10/2020,14:00:00,3679.455
VIC1,3/10/2020,15:00:00,3848.53
VIC1,3/10/2020,16:00:00,4276.465
VIC1,3/10/2020,17:00:00,4790.255
VIC1,3/10/2020,18:00:00,5039.18
VIC1,3/10/2020,19:00:00,4891.755
VIC1,3/10/2020,20:00:00,4619.565
VIC1,3/10/2020,21:00:00,4400.72
VIC1,3/10/2020,22:00:00,4244.08
VIC1,3/10/2020,23:00:00,4362.93
VIC1,4/10/2020,0:00:00,4069.975
VIC1,4/10/2020,1:00:00,3842.805
VIC1,4/10/2020,2:00:00,3557.63
VIC1,4/10/2020,3:00:00,3445.925
VIC1,4/10/2020,4:00:00,3452.325
VIC1,4/10/2020,5:00:00,3560.13
VIC1,4/10/2020,6:00:00,3593.53
VIC1,4/10/2020,7:00:00,3608.775
VIC1,4/10/2020,8:00:00,3656.675
VIC1,4/10/2020,9:00:00,3647.315
VIC1,4/10/2020,10:00:00,3773.67
VIC1,4/10/2020,11:00:00,3930.095
VIC1,4/10/2020,12:00:00,3738.965
VIC1,4/10/2020,13:00:00,3553.84
VIC1,4/10/2020,14:00:00,3768.965
VIC1,4/10/2020,15:00:00,4171.915
VIC1,4/10/2020,16:00:00,4515.535
VIC1,4/10/2020,17:00:00,4751.055
VIC1,4/10/2020,18:00:00,4797.195
VIC1,4/10/2020,19:00:00,4577.185
VIC1,4/10/2020,20:00:00,4196.255
VIC1,4/10/2020,21:00:00,3964.58
VIC1,4/10/2020,22:00:00,3754.27
VIC1,4/10/2020,23:00:00,4003.275
VIC1,5/10/2020,0:00:00,3917.12
VIC1,5/10/2020,1:00:00,3650.22
VIC1,5/10/2020,2:00:00,3492.39
VIC1,5/10/2020,3:00:00,3493.865
VIC1,5/10/2020,4:00:00,3726.22
VIC1,5/10/2020,5:00:00,4263.455
VIC1,5/10/2020,6:00:00,4931.405
VIC1,5/10/2020,7:00:00,5321.34
VIC1,5/10/2020,8:00:00,5495.54
VIC1,5/10/2020,9:00:00,5329.665
VIC1,5/10/2020,10:00:00,5201.925
VIC1,5/10/2020,11:00:00,5014.08
VIC1,5/10/2020,12:00:00,4850.3
VIC1,5/10/2020,13:00:00,4714.55
VIC1,5/10/2020,14:00:00,4673.26
VIC1,5/10/2020,15:00:00,4897.405
VIC1,5/10/2020,16:00:00,5312.025
VIC1,5/10/2020,17:00:00,5578.07
VIC1,5/10/2020,18:00:00,5639.83
VIC1,5/10/2020,19:00:00,5505.99
VIC1,5/10/2020,20:00:00,5146.77
VIC1,5/10/2020,21:00:00,4747.925
VIC1,5/10/2020,22:00:00,4412.25
VIC1,5/10/2020,23:00:00,4542.915
VIC1,6/10/2020,0:00:00,4368.31
VIC1,6/10/2020,1:00:00,4085.855
VIC1,6/10/2020,2:00:00,3890.36
VIC1,6/10/2020,3:00:00,3888.87
VIC1,6/10/2020,4:00:00,4077.895
VIC1,6/10/2020,5:00:00,4655.285
VIC1,6/10/2020,6:00:00,5371.65
VIC1,6/10/2020,7:00:00,5614.065
VIC1,6/10/2020,8:00:00,5538.405
VIC1,6/10/2020,9:00:00,5381.37
VIC1,6/10/2020,10:00:00,5158.465
VIC1,6/10/2020,11:00:00,5231.885
VIC1,6/10/2020,12:00:00,5353.155
VIC1,6/10/2020,13:00:00,5392.705
VIC1,6/10/2020,14:00:00,5430.765
VIC1,6/10/2020,15:00:00,5624.47
VIC1,6/10/2020,16:00:00,5939.635
VIC1,6/10/2020,17:00:00,6122.23
VIC1,6/10/2020,18:00:00,6032.145
VIC1,6/10/2020,19:00:00,5829.28
VIC1,6/10/2020,20:00:00,5451.13
VIC1,6/10/2020,21:00:00,4945.62
VIC1,6/10/2020,22:00:00,4592.135
VIC1,6/10/2020,23:00:00,4726.845
VIC1,7/10/2020,0:00:00,4570.035
VIC1,7/10/2020,1:00:00,4357.285
VIC1,7/10/2020,2:00:00,4114.33
VIC1,7/10/2020,3:00:00,4033.025
VIC1,7/10/2020,4:00:00,4207.135
VIC1,7/10/2020,5:00:00,4768.84
VIC1,7/10/2020,6:00:00,5436.88
VIC1,7/10/2020,7:00:00,5642.73
VIC1,7/10/2020,8:00:00,5606.535
VIC1,7/10/2020,9:00:00,5384.67
VIC1,7/10/2020,10:00:00,5195.945
VIC1,7/10/2020,11:00:00,5234.39
VIC1,7/10/2020,12:00:00,5205.245
VIC1,7/10/2020,13:00:00,5175.065
VIC1,7/10/2020,14:00:00,5190.465
VIC1,7/10/2020,15:00:00,5440.035
VIC1,7/10/2020,16:00:00,5809.66
VIC1,7/10/2020,17:00:00,5932.37
VIC1,7/10/2020,18:00:00,5738.51
VIC1,7/10/2020,19:00:00,5502.005
VIC1,7/10/2020,20:00:00,5037.91
VIC1,7/10/2020,21:00:00,4586.62
VIC1,7/10/2020,22:00:00,4238.13
VIC1,7/10/2020,23:00:00,4413.495
