,LightGBM,XBG Boost,CatBoost,LightGBM + Prophet
Building0,2.742286158,1.800325138,2.807433531,5.332322384
Building1,2.505399982,2.31260684,2.498632399,3.66046034
Building3,4.207394067,3.921173134,3.774422684,6.774327436
Building4,1.293773174,1.578301774,1.578066819,1.255293907
Building5,1.424016219,1.378479813,1.383890696,2.069772769
Building6,2.359058773,2.303468692,2.241673864,1.79909809
Solar0,2.081751079,2.33222272,2.28086001,4.553115418
Solar1,1.196950392,1.196894473,1.194469438,3.031724492
Solar2,0.878279398,0.876956135,0.866941109,2.793791244
Solar3,1.416476834,1.449761338,1.431164266,2.955887297
Solar4,0.872475562,0.853973689,0.852461836,2.595510792
Solar5,1.301207978,1.01021372,1.102475947,3.013787413
