,series_value,datetime,Year,Month,Day_of_Month,Hour,minutes,series_name
0,0.0,2020-04-25 14:00:00,2020,4,25,14,0,Solar0
4,0.0,2020-04-25 15:00:00,2020,4,25,15,0,Solar0
8,0.0,2020-04-25 16:00:00,2020,4,25,16,0,Solar0
12,0.0,2020-04-25 17:00:00,2020,4,25,17,0,Solar0
16,0.0,2020-04-25 18:00:00,2020,4,25,18,0,Solar0
20,0.0,2020-04-25 19:00:00,2020,4,25,19,0,Solar0
24,0.0,2020-04-25 20:00:00,2020,4,25,20,0,Solar0
28,0.0,2020-04-25 21:00:00,2020,4,25,21,0,Solar0
32,0.0,2020-04-25 22:00:00,2020,4,25,22,0,Solar0
36,0.0,2020-04-25 23:00:00,2020,4,25,23,0,Solar0
40,0.0,2020-04-26 00:00:00,2020,4,26,0,0,Solar0
44,0.01,2020-04-26 01:00:00,2020,4,26,1,0,Solar0
48,0.01,2020-04-26 02:00:00,2020,4,26,2,0,Solar0
52,0.0,2020-04-26 03:00:00,2020,4,26,3,0,Solar0
56,0.0,2020-04-26 04:00:00,2020,4,26,4,0,Solar0
60,0.0,2020-04-26 05:00:00,2020,4,26,5,0,Solar0
64,0.0,2020-04-26 06:00:00,2020,4,26,6,0,Solar0
68,0.0,2020-04-26 07:00:00,2020,4,26,7,0,Solar0
72,0.0,2020-04-26 08:00:00,2020,4,26,8,0,Solar0
76,0.0,2020-04-26 09:00:00,2020,4,26,9,0,Solar0
80,0.0,2020-04-26 10:00:00,2020,4,26,10,0,Solar0
84,0.0,2020-04-26 11:00:00,2020,4,26,11,0,Solar0
88,0.0,2020-04-26 12:00:00,2020,4,26,12,0,Solar0
92,0.0,2020-04-26 13:00:00,2020,4,26,13,0,Solar0
96,0.0,2020-04-26 14:00:00,2020,4,26,14,0,Solar0
100,0.0,2020-04-26 15:00:00,2020,4,26,15,0,Solar0
104,0.0,2020-04-26 16:00:00,2020,4,26,16,0,Solar0
108,0.0,2020-04-26 17:00:00,2020,4,26,17,0,Solar0
112,0.0,2020-04-26 18:00:00,2020,4,26,18,0,Solar0
116,0.0,2020-04-26 19:00:00,2020,4,26,19,0,Solar0
120,0.0,2020-04-26 20:00:00,2020,4,26,20,0,Solar0
124,0.0,2020-04-26 21:00:00,2020,4,26,21,0,Solar0
128,0.0,2020-04-26 22:00:00,2020,4,26,22,0,Solar0
132,0.0,2020-04-26 23:00:00,2020,4,26,23,0,Solar0
136,0.0,2020-04-27 00:00:00,2020,4,27,0,0,Solar0
140,0.0,2020-04-27 01:00:00,2020,4,27,1,0,Solar0
144,0.0,2020-04-27 02:00:00,2020,4,27,2,0,Solar0
148,0.0,2020-04-27 03:00:00,2020,4,27,3,0,Solar0
152,0.0,2020-04-27 04:00:00,2020,4,27,4,0,Solar0
156,0.0,2020-04-27 05:00:00,2020,4,27,5,0,Solar0
160,0.0,2020-04-27 06:00:00,2020,4,27,6,0,Solar0
164,0.0,2020-04-27 07:00:00,2020,4,27,7,0,Solar0
168,0.0,2020-04-27 08:00:00,2020,4,27,8,0,Solar0
172,0.0,2020-04-27 09:00:00,2020,4,27,9,0,Solar0
176,0.0,2020-04-27 10:00:00,2020,4,27,10,0,Solar0
180,0.0,2020-04-27 11:00:00,2020,4,27,11,0,Solar0
184,0.0,2020-04-27 12:00:00,2020,4,27,12,0,Solar0
188,0.0,2020-04-27 13:00:00,2020,4,27,13,0,Solar0
192,0.0,2020-04-27 14:00:00,2020,4,27,14,0,Solar0
196,0.0,2020-04-27 15:00:00,2020,4,27,15,0,Solar0
200,0.0,2020-04-27 16:00:00,2020,4,27,16,0,Solar0
204,0.0,2020-04-27 17:00:00,2020,4,27,17,0,Solar0
208,0.0,2020-04-27 18:00:00,2020,4,27,18,0,Solar0
212,0.0,2020-04-27 19:00:00,2020,4,27,19,0,Solar0
216,0.0,2020-04-27 20:00:00,2020,4,27,20,0,Solar0
220,0.0,2020-04-27 21:00:00,2020,4,27,21,0,Solar0
224,0.0,2020-04-27 22:00:00,2020,4,27,22,0,Solar0
228,0.0,2020-04-27 23:00:00,2020,4,27,23,0,Solar0
232,0.0,2020-04-28 00:00:00,2020,4,28,0,0,Solar0
236,0.0,2020-04-28 01:00:00,2020,4,28,1,0,Solar0
240,0.0,2020-04-28 02:00:00,2020,4,28,2,0,Solar0
244,0.0,2020-04-28 03:00:00,2020,4,28,3,0,Solar0
248,0.0,2020-04-28 04:00:00,2020,4,28,4,0,Solar0
252,0.0,2020-04-28 05:00:00,2020,4,28,5,0,Solar0
256,0.0,2020-04-28 06:00:00,2020,4,28,6,0,Solar0
260,0.0,2020-04-28 07:00:00,2020,4,28,7,0,Solar0
264,0.0,2020-04-28 08:00:00,2020,4,28,8,0,Solar0
268,0.0,2020-04-28 09:00:00,2020,4,28,9,0,Solar0
272,0.0,2020-04-28 10:00:00,2020,4,28,10,0,Solar0
276,0.0,2020-04-28 11:00:00,2020,4,28,11,0,Solar0
280,0.0,2020-04-28 12:00:00,2020,4,28,12,0,Solar0
284,0.0,2020-04-28 13:00:00,2020,4,28,13,0,Solar0
288,0.0,2020-04-28 14:00:00,2020,4,28,14,0,Solar0
292,0.0,2020-04-28 15:00:00,2020,4,28,15,0,Solar0
296,0.0,2020-04-28 16:00:00,2020,4,28,16,0,Solar0
300,0.0,2020-04-28 17:00:00,2020,4,28,17,0,Solar0
304,0.0,2020-04-28 18:00:00,2020,4,28,18,0,Solar0
308,0.0,2020-04-28 19:00:00,2020,4,28,19,0,Solar0
312,0.0,2020-04-28 20:00:00,2020,4,28,20,0,Solar0
316,0.0,2020-04-28 21:00:00,2020,4,28,21,0,Solar0
320,0.0,2020-04-28 22:00:00,2020,4,28,22,0,Solar0
324,0.0,2020-04-28 23:00:00,2020,4,28,23,0,Solar0
328,0.0,2020-04-29 00:00:00,2020,4,29,0,0,Solar0
332,0.0,2020-04-29 01:00:00,2020,4,29,1,0,Solar0
336,0.0,2020-04-29 02:00:00,2020,4,29,2,0,Solar0
340,0.0,2020-04-29 03:00:00,2020,4,29,3,0,Solar0
344,0.0,2020-04-29 04:00:00,2020,4,29,4,0,Solar0
348,0.0,2020-04-29 05:00:00,2020,4,29,5,0,Solar0
352,0.0,2020-04-29 06:00:00,2020,4,29,6,0,Solar0
356,0.0,2020-04-29 07:00:00,2020,4,29,7,0,Solar0
360,0.0,2020-04-29 08:00:00,2020,4,29,8,0,Solar0
364,0.0,2020-04-29 09:00:00,2020,4,29,9,0,Solar0
368,0.0,2020-04-29 10:00:00,2020,4,29,10,0,Solar0
372,0.0,2020-04-29 11:00:00,2020,4,29,11,0,Solar0
376,0.0,2020-04-29 12:00:00,2020,4,29,12,0,Solar0
380,0.0,2020-04-29 13:00:00,2020,4,29,13,0,Solar0
384,0.0,2020-04-29 14:00:00,2020,4,29,14,0,Solar0
388,0.0,2020-04-29 15:00:00,2020,4,29,15,0,Solar0
392,0.0,2020-04-29 16:00:00,2020,4,29,16,0,Solar0
396,0.0,2020-04-29 17:00:00,2020,4,29,17,0,Solar0
400,0.0,2020-04-29 18:00:00,2020,4,29,18,0,Solar0
404,0.0,2020-04-29 19:00:00,2020,4,29,19,0,Solar0
408,0.0,2020-04-29 20:00:00,2020,4,29,20,0,Solar0
412,0.0,2020-04-29 21:00:00,2020,4,29,21,0,Solar0
416,0.0,2020-04-29 22:00:00,2020,4,29,22,0,Solar0
420,0.0,2020-04-29 23:00:00,2020,4,29,23,0,Solar0
424,0.0,2020-04-30 00:00:00,2020,4,30,0,0,Solar0
428,0.0,2020-04-30 01:00:00,2020,4,30,1,0,Solar0
432,0.0,2020-04-30 02:00:00,2020,4,30,2,0,Solar0
436,0.0,2020-04-30 03:00:00,2020,4,30,3,0,Solar0
440,0.0,2020-04-30 04:00:00,2020,4,30,4,0,Solar0
444,0.0,2020-04-30 05:00:00,2020,4,30,5,0,Solar0
448,0.0,2020-04-30 06:00:00,2020,4,30,6,0,Solar0
452,0.0,2020-04-30 07:00:00,2020,4,30,7,0,Solar0
456,0.0,2020-04-30 08:00:00,2020,4,30,8,0,Solar0
460,0.0,2020-04-30 09:00:00,2020,4,30,9,0,Solar0
464,0.0,2020-04-30 10:00:00,2020,4,30,10,0,Solar0
468,0.0,2020-04-30 11:00:00,2020,4,30,11,0,Solar0
472,0.0,2020-04-30 12:00:00,2020,4,30,12,0,Solar0
