REGION,DATE,TIME,AVERAGEHOURLYRRP
VIC1,1/10/2020,0:00:00,38.74
VIC1,1/10/2020,1:00:00,36.125
VIC1,1/10/2020,2:00:00,32.005
VIC1,1/10/2020,3:00:00,30.74
VIC1,1/10/2020,4:00:00,33.24
VIC1,1/10/2020,5:00:00,38.635
VIC1,1/10/2020,6:00:00,45.93
VIC1,1/10/2020,7:00:00,40.025
VIC1,1/10/2020,8:00:00,36.44
VIC1,1/10/2020,9:00:00,30.75
VIC1,1/10/2020,10:00:00,20.035
VIC1,1/10/2020,11:00:00,6.305
VIC1,1/10/2020,12:00:00,5.105
VIC1,1/10/2020,13:00:00,-20.8
VIC1,1/10/2020,14:00:00,-35.845
VIC1,1/10/2020,15:00:00,-17.305
VIC1,1/10/2020,16:00:00,29.25
VIC1,1/10/2020,17:00:00,40.025
VIC1,1/10/2020,18:00:00,162.655
VIC1,1/10/2020,19:00:00,54.775
VIC1,1/10/2020,20:00:00,41.115
VIC1,1/10/2020,21:00:00,35.545
VIC1,1/10/2020,22:00:00,36.235
VIC1,1/10/2020,23:00:00,34.84
VIC1,2/10/2020,0:00:00,26.87
VIC1,2/10/2020,1:00:00,-8.17
VIC1,2/10/2020,2:00:00,-38.62
VIC1,2/10/2020,3:00:00,-42.545
VIC1,2/10/2020,4:00:00,-41.935
VIC1,2/10/2020,5:00:00,-37.85
VIC1,2/10/2020,6:00:00,-7.275
VIC1,2/10/2020,7:00:00,-14.35
VIC1,2/10/2020,8:00:00,-15.15
VIC1,2/10/2020,9:00:00,-22.385
VIC1,2/10/2020,10:00:00,-60.1
VIC1,2/10/2020,11:00:00,-52.96
VIC1,2/10/2020,12:00:00,-44.35
VIC1,2/10/2020,13:00:00,-39.31
VIC1,2/10/2020,14:00:00,-20.11
VIC1,2/10/2020,15:00:00,-12.56
VIC1,2/10/2020,16:00:00,33.41
VIC1,2/10/2020,17:00:00,35.05
VIC1,2/10/2020,18:00:00,33.96
VIC1,2/10/2020,19:00:00,33.13
VIC1,2/10/2020,20:00:00,31.805
VIC1,2/10/2020,21:00:00,13.29
VIC1,2/10/2020,22:00:00,-5.065
VIC1,2/10/2020,23:00:00,17.4
VIC1,3/10/2020,0:00:00,-12.905
VIC1,3/10/2020,1:00:00,-31.2
VIC1,3/10/2020,2:00:00,-25.08
VIC1,3/10/2020,3:00:00,-43.845
VIC1,3/10/2020,4:00:00,-47.3
VIC1,3/10/2020,5:00:00,-45.905
VIC1,3/10/2020,6:00:00,-46.615
VIC1,3/10/2020,7:00:00,-41.53
VIC1,3/10/2020,8:00:00,-36.425
VIC1,3/10/2020,9:00:00,-42.955
VIC1,3/10/2020,10:00:00,-37.405
VIC1,3/10/2020,11:00:00,-33.61
VIC1,3/10/2020,12:00:00,-26.68
VIC1,3/10/2020,13:00:00,-0.905
VIC1,3/10/2020,14:00:00,8.16
VIC1,3/10/2020,15:00:00,7.74
VIC1,3/10/2020,16:00:00,32.225
VIC1,3/10/2020,17:00:00,36.295
VIC1,3/10/2020,18:00:00,41.67
VIC1,3/10/2020,19:00:00,39.745
VIC1,3/10/2020,20:00:00,35.445
VIC1,3/10/2020,21:00:00,35.45
VIC1,3/10/2020,22:00:00,38.795
VIC1,3/10/2020,23:00:00,44.265
VIC1,4/10/2020,0:00:00,36.18
VIC1,4/10/2020,1:00:00,32.815
