date,moneysaved
1/11/2022,20.51
2/11/2022,12.22
3/11/2022,33.11
4/11/2022,42.11
5/11/2022,23.11
6/11/2022,19.99
7/11/2022,21.31
8/11/2022,41.2
9/11/2022,51.11
10/11/2022,33.11
11/11/2022,23.1
12/11/2022,69.29
13/11/2022,88.11
14/11/2022,12.12
15/11/2022,22.31
16/11/2022,32.12
17/11/2022,54.12
18/11/2022,91.21
19/11/2022,42.11
20/11/2022,17.12
21/11/2022,69.12
22/11/2022,20.15
23/11/2022,31.11
24/11/2022,37.11
25/11/2022,48.11
26/11/2022,32.12
27/11/2022,12.31
28/11/2022,31.22
29/11/2022,31.11
30/11/2022,19.21
