,series_name,Year,Month,Day_of_Month,Week,Day,Hour,series_value,datetime,NumericMonth
0,Solar0,2020,Apr,27,17,1,0,0,27/04/2020 0:00,4
1,Solar0,2020,Apr,27,17,1,1,0,27/04/2020 1:00,4
2,Solar0,2020,Apr,27,17,1,2,0,27/04/2020 2:00,4
3,Solar0,2020,Apr,27,17,1,3,0,27/04/2020 3:00,4
4,Solar0,2020,Apr,27,17,1,4,0,27/04/2020 4:00,4
5,Solar0,2020,Apr,27,17,1,5,0,27/04/2020 5:00,4
6,Solar0,2020,Apr,27,17,1,6,0,27/04/2020 6:00,4
7,Solar0,2020,Apr,27,17,1,7,0,27/04/2020 7:00,4
8,Solar0,2020,Apr,27,17,1,8,0,27/04/2020 8:00,4
9,Solar0,2020,Apr,27,17,1,9,0,27/04/2020 9:00,4
10,Solar0,2020,Apr,27,17,1,10,0,27/04/2020 10:00,4
11,Solar0,2020,Apr,27,17,1,11,0,27/04/2020 11:00,4
12,Solar0,2020,Apr,27,17,1,12,0,27/04/2020 12:00,4
13,Solar0,2020,Apr,27,17,1,13,0,27/04/2020 13:00,4
14,Solar0,2020,Apr,27,17,1,14,0,27/04/2020 14:00,4
15,Solar0,2020,Apr,27,17,1,15,0,27/04/2020 15:00,4
16,Solar0,2020,Apr,27,17,1,16,0,27/04/2020 16:00,4
17,Solar0,2020,Apr,27,17,1,17,0,27/04/2020 17:00,4
18,Solar0,2020,Apr,27,17,1,18,0,27/04/2020 18:00,4
19,Solar0,2020,Apr,27,17,1,19,0,27/04/2020 19:00,4
20,Solar0,2020,Apr,27,17,1,20,0,27/04/2020 20:00,4
21,Solar0,2020,Apr,27,17,1,21,0,27/04/2020 21:00,4
22,Solar0,2020,Apr,27,17,1,22,0,27/04/2020 22:00,4
23,Solar0,2020,Apr,27,17,1,23,0,27/04/2020 23:00,4
24,Solar0,2020,Apr,28,17,2,0,0,28/04/2020 0:00,4
25,Solar0,2020,Apr,28,17,2,1,0,28/04/2020 1:00,4
26,Solar0,2020,Apr,28,17,2,2,0,28/04/2020 2:00,4
27,Solar0,2020,Apr,28,17,2,3,0,28/04/2020 3:00,4
28,Solar0,2020,Apr,28,17,2,4,0,28/04/2020 4:00,4
29,Solar0,2020,Apr,28,17,2,5,0,28/04/2020 5:00,4
30,Solar0,2020,Apr,28,17,2,6,0,28/04/2020 6:00,4
31,Solar0,2020,Apr,28,17,2,7,0,28/04/2020 7:00,4
32,Solar0,2020,Apr,28,17,2,8,0,28/04/2020 8:00,4
33,Solar0,2020,Apr,28,17,2,9,0,28/04/2020 9:00,4
34,Solar0,2020,Apr,28,17,2,10,0,28/04/2020 10:00,4
35,Solar0,2020,Apr,28,17,2,11,0,28/04/2020 11:00,4
36,Solar0,2020,Apr,28,17,2,12,0,28/04/2020 12:00,4
37,Solar0,2020,Apr,28,17,2,13,0,28/04/2020 13:00,4
38,Solar0,2020,Apr,28,17,2,14,0,28/04/2020 14:00,4
39,Solar0,2020,Apr,28,17,2,15,0,28/04/2020 15:00,4
40,Solar0,2020,Apr,28,17,2,16,0,28/04/2020 16:00,4
41,Solar0,2020,Apr,28,17,2,17,0,28/04/2020 17:00,4
42,Solar0,2020,Apr,28,17,2,18,0,28/04/2020 18:00,4
43,Solar0,2020,Apr,28,17,2,19,0,28/04/2020 19:00,4
44,Solar0,2020,Apr,28,17,2,20,0,28/04/2020 20:00,4
45,Solar0,2020,Apr,28,17,2,21,0,28/04/2020 21:00,4
46,Solar0,2020,Apr,28,17,2,22,0,28/04/2020 22:00,4
47,Solar0,2020,Apr,28,17,2,23,0,28/04/2020 23:00,4
48,Solar0,2020,Apr,26,17,7,0,0,26/04/2020 0:00,4
49,Solar0,2020,Apr,26,17,7,1,0,26/04/2020 1:00,4
50,Solar0,2020,Apr,26,17,7,2,0,26/04/2020 2:00,4
51,Solar0,2020,Apr,26,17,7,3,0,26/04/2020 3:00,4
52,Solar0,2020,Apr,26,17,7,4,0,26/04/2020 4:00,4
53,Solar0,2020,Apr,26,17,7,5,0,26/04/2020 5:00,4
54,Solar0,2020,Apr,26,17,7,6,0,26/04/2020 6:00,4
55,Solar0,2020,Apr,26,17,7,7,0,26/04/2020 7:00,4
56,Solar0,2020,Apr,26,17,7,8,0,26/04/2020 8:00,4
57,Solar0,2020,Apr,26,17,7,9,0,26/04/2020 9:00,4
58,Solar0,2020,Apr,26,17,7,10,0,26/04/2020 10:00,4
59,Solar0,2020,Apr,26,17,7,11,0.01,26/04/2020 11:00,4
60,Solar0,2020,Apr,26,17,7,12,0.0025,26/04/2020 12:00,4
61,Solar0,2020,Apr,26,17,7,13,0,26/04/2020 13:00,4
62,Solar0,2020,Apr,26,17,7,14,0,26/04/2020 14:00,4
63,Solar0,2020,Apr,26,17,7,15,0,26/04/2020 15:00,4
64,Solar0,2020,Apr,26,17,7,16,0,26/04/2020 16:00,4
65,Solar0,2020,Apr,26,17,7,17,0,26/04/2020 17:00,4
66,Solar0,2020,Apr,26,17,7,18,0,26/04/2020 18:00,4
67,Solar0,2020,Apr,26,17,7,19,0,26/04/2020 19:00,4
68,Solar0,2020,Apr,26,17,7,20,0,26/04/2020 20:00,4
69,Solar0,2020,Apr,26,17,7,21,0,26/04/2020 21:00,4
70,Solar0,2020,Apr,26,17,7,22,0,26/04/2020 22:00,4
71,Solar0,2020,Apr,26,17,7,23,0,26/04/2020 23:00,4
72,Solar0,2020,May,4,18,1,0,0,4/05/2020 0:00,5
73,Solar0,2020,May,4,18,1,1,0,4/05/2020 1:00,5
74,Solar0,2020,May,4,18,1,2,0,4/05/2020 2:00,5
75,Solar0,2020,May,4,18,1,3,0,4/05/2020 3:00,5
76,Solar0,2020,May,4,18,1,4,0,4/05/2020 4:00,5
77,Solar0,2020,May,4,18,1,5,0,4/05/2020 5:00,5
78,Solar0,2020,May,4,18,1,6,0,4/05/2020 6:00,5
79,Solar0,2020,May,4,18,1,7,0,4/05/2020 7:00,5
80,Solar0,2020,May,4,18,1,8,0,4/05/2020 8:00,5
81,Solar0,2020,May,4,18,1,9,0,4/05/2020 9:00,5
82,Solar0,2020,May,4,18,1,10,0,4/05/2020 10:00,5
83,Solar0,2020,May,4,18,1,11,0,4/05/2020 11:00,5
84,Solar0,2020,May,4,18,1,12,0,4/05/2020 12:00,5
85,Solar0,2020,May,4,18,1,13,0,4/05/2020 13:00,5
86,Solar0,2020,May,4,18,1,14,0,4/05/2020 14:00,5
87,Solar0,2020,May,4,18,1,15,0,4/05/2020 15:00,5
88,Solar0,2020,May,4,18,1,16,0,4/05/2020 16:00,5
89,Solar0,2020,May,4,18,1,17,0,4/05/2020 17:00,5
90,Solar0,2020,May,4,18,1,18,0,4/05/2020 18:00,5
91,Solar0,2020,May,4,18,1,19,0,4/05/2020 19:00,5
92,Solar0,2020,May,4,18,1,20,0,4/05/2020 20:00,5
93,Solar0,2020,May,4,18,1,21,0,4/05/2020 21:00,5
94,Solar0,2020,May,4,18,1,22,0,4/05/2020 22:00,5
95,Solar0,2020,May,4,18,1,23,0,4/05/2020 23:00,5
96,Solar0,2020,May,5,18,2,0,0,5/05/2020 0:00,5
97,Solar0,2020,May,5,18,2,1,0,5/05/2020 1:00,5
98,Solar0,2020,May,5,18,2,2,0,5/05/2020 2:00,5
99,Solar0,2020,May,5,18,2,3,0,5/05/2020 3:00,5
100,Solar0,2020,May,5,18,2,4,0,5/05/2020 4:00,5
101,Solar0,2020,May,5,18,2,5,0,5/05/2020 5:00,5
102,Solar0,2020,May,5,18,2,6,0,5/05/2020 6:00,5
103,Solar0,2020,May,5,18,2,7,0,5/05/2020 7:00,5
104,Solar0,2020,May,5,18,2,8,0,5/05/2020 8:00,5
105,Solar0,2020,May,5,18,2,9,0,5/05/2020 9:00,5
106,Solar0,2020,May,5,18,2,10,0,5/05/2020 10:00,5
107,Solar0,2020,May,5,18,2,11,0,5/05/2020 11:00,5
108,Solar0,2020,May,5,18,2,12,0,5/05/2020 12:00,5
109,Solar0,2020,May,5,18,2,13,0,5/05/2020 13:00,5
110,Solar0,2020,May,5,18,2,14,0,5/05/2020 14:00,5
111,Solar0,2020,May,5,18,2,15,0,5/05/2020 15:00,5
112,Solar0,2020,May,5,18,2,16,0,5/05/2020 16:00,5
113,Solar0,2020,May,5,18,2,17,0,5/05/2020 17:00,5
114,Solar0,2020,May,5,18,2,18,0,5/05/2020 18:00,5
115,Solar0,2020,May,5,18,2,19,0,5/05/2020 19:00,5
116,Solar0,2020,May,5,18,2,20,0,5/05/2020 20:00,5
117,Solar0,2020,May,5,18,2,21,0,5/05/2020 21:00,5
118,Solar0,2020,May,5,18,2,22,0,5/05/2020 22:00,5
119,Solar0,2020,May,5,18,2,23,0,5/05/2020 23:00,5
120,Solar0,2020,Apr,29,18,3,0,0,29/04/2020 0:00,4
121,Solar0,2020,Apr,29,18,3,1,0,29/04/2020 1:00,4
122,Solar0,2020,Apr,29,18,3,2,0,29/04/2020 2:00,4
123,Solar0,2020,Apr,29,18,3,3,0,29/04/2020 3:00,4
124,Solar0,2020,Apr,29,18,3,4,0,29/04/2020 4:00,4
125,Solar0,2020,Apr,29,18,3,5,0,29/04/2020 5:00,4
126,Solar0,2020,Apr,29,18,3,6,0,29/04/2020 6:00,4
127,Solar0,2020,Apr,29,18,3,7,0,29/04/2020 7:00,4
128,Solar0,2020,Apr,29,18,3,8,0,29/04/2020 8:00,4
129,Solar0,2020,Apr,29,18,3,9,0,29/04/2020 9:00,4
130,Solar0,2020,Apr,29,18,3,10,0,29/04/2020 10:00,4
131,Solar0,2020,Apr,29,18,3,11,0,29/04/2020 11:00,4
132,Solar0,2020,Apr,29,18,3,12,0,29/04/2020 12:00,4
133,Solar0,2020,Apr,29,18,3,13,0,29/04/2020 13:00,4
134,Solar0,2020,Apr,29,18,3,14,0,29/04/2020 14:00,4
135,Solar0,2020,Apr,29,18,3,15,0,29/04/2020 15:00,4
136,Solar0,2020,Apr,29,18,3,16,0,29/04/2020 16:00,4
137,Solar0,2020,Apr,29,18,3,17,0,29/04/2020 17:00,4
138,Solar0,2020,Apr,29,18,3,18,0,29/04/2020 18:00,4
139,Solar0,2020,Apr,29,18,3,19,0,29/04/2020 19:00,4
140,Solar0,2020,Apr,29,18,3,20,0,29/04/2020 20:00,4
