Date,Hour,Total_series_values
2016-03-01,15,3963
2016-03-01,16,5200
2016-03-01,17,5040
2016-03-01,18,4624
2016-03-01,19,3204
2016-03-01,20,2409
2016-03-01,21,1610
2016-03-01,22,1797
2016-03-01,23,1629
2016-03-02,0,1499
2016-03-02,1,1434
2016-03-02,2,1388
2016-03-02,3,1376
2016-03-02,4,1430
2016-03-02,5,1592
2016-03-02,6,1745
2016-03-02,7,2413
2016-03-02,8,2831
2016-03-02,9,3599
2016-03-02,10,4360
2016-03-02,11,4899
2016-03-02,12,5215
2016-03-02,13,5505
2016-03-02,14,5568
2016-03-02,15,5429
2016-03-02,16,5393
2016-03-02,17,5153
2016-03-02,18,4661
2016-03-02,19,3135
2016-03-02,20,2351
2016-03-02,21,2067
2016-03-02,22,1780
2016-03-02,23,1620
2016-03-03,0,1526
2016-03-03,1,1519
2016-03-03,2,1485
2016-03-03,3,1436
2016-03-03,4,1520
2016-03-03,5,1708
2016-03-03,6,1868
2016-03-03,7,2315
2016-03-03,8,2773
2016-03-03,9,3315
2016-03-03,10,3685
2016-03-03,11,4180
2016-03-03,12,4677
2016-03-03,13,5024
2016-03-03,14,5244
2016-03-03,15,5073
2016-03-03,16,4871
2016-03-03,17,4744
2016-03-03,18,4344
2016-03-03,19,3131
2016-03-03,20,2471
2016-03-03,21,2228
2016-03-03,22,1964
2016-03-03,23,1787
2016-03-04,0,1680
2016-03-04,1,1629
2016-03-04,2,1584
2016-03-04,3,1539
2016-03-04,4,1564
2016-03-04,5,1738
2016-03-04,6,1864
2016-03-04,7,2242
2016-03-04,8,2732
2016-03-04,9,3318
2016-03-04,10,3796
2016-03-04,11,4555
2016-03-04,12,5111
2016-03-04,13,5476
2016-03-04,14,5758
2016-03-04,15,5767
2016-03-04,16,5616
2016-03-04,17,5515
2016-03-04,18,4926
2016-03-04,19,3413
2016-03-04,20,2684
2016-03-04,21,2468
2016-03-04,22,2161
2016-03-04,23,1913
2016-03-05,0,1731
2016-03-05,1,1652
2016-03-05,2,1676
2016-03-05,3,1664
2016-03-05,4,1650
2016-03-05,5,1597
2016-03-05,6,1592
2016-03-05,7,1548
2016-03-05,8,1586
2016-03-05,9,1634
2016-03-05,10,1668
2016-03-05,11,1826
2016-03-05,12,1939
2016-03-05,13,1900
2016-03-05,14,1919
2016-03-05,15,1839
2016-03-05,16,1586
2016-03-05,17,1479
2016-03-05,18,1525
2016-03-05,19,1544
2016-03-05,20,1514
2016-03-05,21,1501
2016-03-05,22,1491
2016-03-05,23,1473
2016-03-06,0,1462
2016-03-06,1,1457
2016-03-06,2,1441
2016-03-06,3,1430
2016-03-06,4,1404
2016-03-06,5,1411
2016-03-06,6,1437
2016-03-06,7,1411
2016-03-06,8,1397
2016-03-06,9,1387
2016-03-06,10,1318
2016-03-06,11,1233
2016-03-06,12,1194
2016-03-06,13,1215
2016-03-06,14,1305
2016-03-06,15,1431
2016-03-06,16,1455
2016-03-06,17,1491
2016-03-06,18,1492
2016-03-06,19,1533
2016-03-06,20,1524
2016-03-06,21,1483
2016-03-06,22,1448
2016-03-06,23,1452
2016-03-07,0,1435
2016-03-07,1,1395
2016-03-07,2,1399
2016-03-07,3,1401
2016-03-07,4,1466
2016-03-07,5,1665
2016-03-07,6,1883
2016-03-07,7,2437
2016-03-07,8,2871
2016-03-07,9,3548
2016-03-07,10,3861
2016-03-07,11,4509
2016-03-07,12,4739
2016-03-07,13,5024
2016-03-07,14,4984
2016-03-07,15,4859
2016-03-07,16,4709
2016-03-07,17,4650
2016-03-07,18,4140
2016-03-07,19,2934
2016-03-07,20,2342
2016-03-07,21,2095
2016-03-07,22,1953
2016-03-07,23,1768
2016-03-08,0,1629
2016-03-08,1,1684
2016-03-08,2,1670
2016-03-08,3,1629
2016-03-08,4,1632
2016-03-08,5,1741
2016-03-08,6,1869
2016-03-08,7,2419
2016-03-08,8,2898
2016-03-08,9,3552
2016-03-08,10,4000
2016-03-08,11,4649
2016-03-08,12,5118
2016-03-08,13,5584
2016-03-08,14,5777
2016-03-08,15,5686
2016-03-08,16,5522
2016-03-08,17,5447
2016-03-08,18,5055
2016-03-08,19,3287
2016-03-08,20,2395
2016-03-08,21,2106
2016-03-08,22,1937
2016-03-08,23,1771
2016-03-09,0,1554
2016-03-09,1,1502
2016-03-09,2,1480
2016-03-09,3,1508
2016-03-09,4,1625
2016-03-09,5,1777
2016-03-09,6,2071
2016-03-09,7,2915
2016-03-09,8,3555
2016-03-09,9,4251
2016-03-09,10,4719
2016-03-09,11,5061
2016-03-09,12,5363
2016-03-09,13,5619
2016-03-09,14,5623
2016-03-09,15,5334
2016-03-09,16,5142
2016-03-09,17,4847
2016-03-09,18,4412
2016-03-09,19,3129
2016-03-09,20,2467
2016-03-09,21,2226
2016-03-09,22,1864
2016-03-09,23,1628
2016-03-10,0,1491
2016-03-10,1,1493
2016-03-10,2,1441
2016-03-10,3,1417
2016-03-10,4,1470
2016-03-10,5,1659
2016-03-10,6,1800
2016-03-10,7,2470
2016-03-10,8,3071
2016-03-10,9,3719
2016-03-10,10,4156
2016-03-10,11,4496
2016-03-10,12,4763
2016-03-10,13,5013
2016-03-10,14,5031
2016-03-10,15,4821
2016-03-10,16,4507
2016-03-10,17,4253
2016-03-10,18,3833
2016-03-10,19,2893
2016-03-10,20,2356
2016-03-10,21,2142
2016-03-10,22,1842
2016-03-10,23,1609
2016-03-11,0,1482
2016-03-11,1,1417
2016-03-11,2,1404
2016-03-11,3,1377
2016-03-11,4,1425
2016-03-11,5,1633
2016-03-11,6,1771
2016-03-11,7,2366
2016-03-11,8,2862
2016-03-11,9,3426
2016-03-11,10,3778
2016-03-11,11,4282
2016-03-11,12,4707
2016-03-11,13,4980
2016-03-11,14,5046
2016-03-11,15,4760
2016-03-11,16,4676
2016-03-11,17,4479
2016-03-11,18,4124
2016-03-11,19,2801
2016-03-11,20,2155
2016-03-11,21,1947
2016-03-11,22,1685
2016-03-11,23,1486
2016-03-12,0,1363
2016-03-12,1,1345
2016-03-12,2,1321
2016-03-12,3,1306
2016-03-12,4,1304
2016-03-12,5,1301
2016-03-12,6,1315
2016-03-12,7,1302
2016-03-12,8,1389
2016-03-12,9,1420
2016-03-12,10,1414
2016-03-12,11,1472
2016-03-12,12,1513
2016-03-12,13,1496
2016-03-12,14,1500
2016-03-12,15,1573
2016-03-12,16,1437
2016-03-12,17,1327
2016-03-12,18,1353
2016-03-12,19,1347
2016-03-12,20,1343
2016-03-12,21,1332
2016-03-12,22,1298
2016-03-12,23,1285
2016-03-13,0,1293
2016-03-13,1,1221
2016-03-13,2,1202
2016-03-13,3,1204
2016-03-13,4,1207
2016-03-13,5,1205
2016-03-13,6,1213
2016-03-13,7,1195
2016-03-13,8,1224
2016-03-13,9,1245
2016-03-13,10,1212
2016-03-13,11,1254
2016-03-13,12,1209
2016-03-13,13,1176
2016-03-13,14,1172
2016-03-13,15,1202
2016-03-13,16,1182
2016-03-13,17,1241
2016-03-13,18,1330
2016-03-13,19,1379
2016-03-13,20,1376
2016-03-13,21,1372
2016-03-13,22,1387
2016-03-13,23,1356
2016-03-14,0,1332
2016-03-14,1,1265
2016-03-14,2,1244
2016-03-14,3,1235
2016-03-14,4,1298
2016-03-14,5,1476
2016-03-14,6,1564
2016-03-14,7,2086
2016-03-14,8,2541
2016-03-14,9,2942
2016-03-14,10,3179
2016-03-14,11,3512
2016-03-14,12,3650
2016-03-14,13,3856
2016-03-14,14,3851
2016-03-14,15,3675
2016-03-14,16,3576
2016-03-14,17,3314
2016-03-14,18,2926
2016-03-14,19,2203
2016-03-14,20,1885
2016-03-14,21,1731
2016-03-14,22,1521
2016-03-14,23,1356
2016-03-15,0,1167
2016-03-15,1,1089
2016-03-15,2,1092
2016-03-15,3,1075
2016-03-15,4,1158
2016-03-15,5,1320
2016-03-15,6,1379
2016-03-15,7,1729
2016-03-15,8,2342
2016-03-15,9,2934
2016-03-15,10,3292
2016-03-15,11,3760
2016-03-15,12,4030
2016-03-15,13,4409
2016-03-15,14,4493
2016-03-15,15,4457
2016-03-15,16,4280
2016-03-15,17,4101
2016-03-15,18,3715
2016-03-15,19,2670
2016-03-15,20,2096
2016-03-15,21,1918
2016-03-15,22,1627
2016-03-15,23,1423
2016-03-16,0,1321
2016-03-16,1,1279
2016-03-16,2,1275
2016-03-16,3,1264
2016-03-16,4,1308
2016-03-16,5,1495
2016-03-16,6,1582
2016-03-16,7,1892
2016-03-16,8,2400
2016-03-16,9,2956
2016-03-16,10,3276
2016-03-16,11,3708
2016-03-16,12,4189
2016-03-16,13,4641
2016-03-16,14,4764
2016-03-16,15,4729
2016-03-16,16,4614
2016-03-16,17,4544
2016-03-16,18,4259
2016-03-16,19,2923
2016-03-16,20,2136
2016-03-16,21,1889
2016-03-16,22,1554
2016-03-16,23,1324
2016-03-17,0,1262
2016-03-17,1,1232
2016-03-17,2,1197
2016-03-17,3,1179
2016-03-17,4,1269
2016-03-17,5,1489
2016-03-17,6,1600
2016-03-17,7,2141
2016-03-17,8,2664
2016-03-17,9,3305
2016-03-17,10,3900
2016-03-17,11,4466
2016-03-17,12,4893
2016-03-17,13,5177
2016-03-17,14,5306
2016-03-17,15,5199
2016-03-17,16,5036
2016-03-17,17,4801
2016-03-17,18,4475
2016-03-17,19,3215
2016-03-17,20,2533
2016-03-17,21,2292
2016-03-17,22,1980
2016-03-17,23,1724
2016-03-18,0,1584
2016-03-18,1,1433
2016-03-18,2,1380
2016-03-18,3,1361
2016-03-18,4,1362
2016-03-18,5,1541
2016-03-18,6,1672
2016-03-18,7,2461
2016-03-18,8,2836
2016-03-18,9,3140
2016-03-18,10,3387
2016-03-18,11,3665
2016-03-18,12,3752
2016-03-18,13,3744
2016-03-18,14,3653
2016-03-18,15,3408
2016-03-18,16,3276
2016-03-18,17,3079
2016-03-18,18,2726
